City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Sistranda,NO,75.16,overcast clouds,63.7256,8.834,Hotell Frøya
362,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
365,Nara,JP,79.88,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
366,Havelock,US,82.35,overcast clouds,34.8791,-76.9013,Sherwood Motel
367,Forquilhinha,BR,77.4,overcast clouds,-28.7475,-49.4722,Oma Zita Hotel
368,Kilindoni,TZ,75.81,few clouds,-7.9139,39.6668,Bustani B&B
369,Dwarka,IN,82.13,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
371,Cilegon,ID,80.49,clear sky,-6.0174,106.0538,Amaris Hotel Cilegon
374,Keti Bandar,PK,81.99,broken clouds,24.1447,67.4497,Haji laloo memon house
375,Ormara,PK,80.78,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
376,Bergerac,FR,73.78,broken clouds,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
378,Samarai,PG,77.02,overcast clouds,-10.6167,150.6667,Nuli Sapi
379,Santona,ES,70.11,broken clouds,43.4439,-3.4576,Playamar
381,Quatre Cocos,MU,71.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
382,Jiblah,YE,61.72,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
386,Port Lincoln,AU,53.04,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
388,Meulaboh,ID,79.11,overcast clouds,4.1363,96.1285,Kost Pria
389,Inhambane,MZ,69.28,clear sky,-23.865,35.3833,Oceano
390,Boras,SE,68.88,broken clouds,57.721,12.9401,Scandic Plaza Borås
394,Lasa,IT,71.51,light rain,46.6166,10.7002,Pension Feldgärtenhof
395,Soyo,AO,77.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
396,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
397,Kimbe,PG,73.94,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
404,Mikuni,JP,78.71,clear sky,36.2171,136.1519,Haiya
405,Warri,NG,82.02,light rain,5.5167,5.75,BON Hotel Delta
406,Yulara,AU,51.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
407,Manavalakurichi,IN,78.89,heavy intensity rain,8.1333,77.3,Udaya Boys Hostel
408,Porbandar,IN,82.69,broken clouds,21.6422,69.6093,Lords Inn Porbandar
409,Herzogenbuchsee,CH,62.44,moderate rain,47.188,7.7062,BnB Wolke 7
410,Bereda,ES,70.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
411,Mahanoro,MG,67.23,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
412,Tura,IN,75.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
413,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
414,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
